 LIST OF OBSOLETE COORDINATE ENTRIES AND SUCCESSORS
OBSLTE    31-JUL-94 116L     216L
OBSLTE    15-APR-98 125D     1AW6
OBSLTE    20-SEP-99 14PS     1QJB
OBSLTE    30-OCT-78 151C     251C
OBSLTE    15-JAN-91 156B     256B
OBSLTE    08-JUL-08 179L     
OBSLTE    07-DEC-04 1A0V     1Y46
OBSLTE    07-DEC-04 1A0W     1Y4F
OBSLTE    07-DEC-04 1A0X     1Y4G
OBSLTE    07-DEC-04 1A0Y     1Y4P
OBSLTE    12-JUN-00 1A10     
OBSLTE    12-JUN-00 1A1Y     
OBSLTE    29-MAY-02 1A6O     1LR4
OBSLTE    11-NOV-98 1A9D     1BZ9
OBSLTE    18-NOV-98 1A9K     1B0G
OBSLTE    13-APR-04 1AA8     1VE9
OBSLTE    18-MAR-98 1AAK     2AAK
OBSLTE    21-APR-97 1ABH     2ABH
OBSLTE    15-OCT-95 1ABK     2ABK
OBSLTE    06-NOV-02 1ABM     1N0J
OBSLTE    31-OCT-93 1ABP     1ABE
OBSLTE    07-MAY-86 1ABX     2ABX
OBSLTE    08-NOV-96 1ACE     2ACE
OBSLTE    11-FEB-98 1ACK     2ACK
OBSLTE    07-MAR-80 1ACT     2ACT
OBSLTE    31-MAR-95 1ADA     2ADA
OBSLTE    29-AUG-81 1ADH     
OBSLTE    03-MAY-77 1ADK     2ADK
OBSLTE    27-JAN-97 1ADM     2ADM
OBSLTE    31-MAR-10 1ADT     2WB0
OBSLTE    15-OCT-95 1AFG     2AFG
OBSLTE    01-AUG-96 1AFN     2AFN
OBSLTE    12-MAY-95 1AK3     2AK3
OBSLTE    21-DEC-01 1ALO     1HLR
OBSLTE    17-JUL-85 1ALP     2ALP
OBSLTE    20-JUN-96 1ALR     2ALR
OBSLTE    14-OCT-98 1AM3     1A8O
OBSLTE    01-APR-97 1AMG     2AMG
OBSLTE    21-OCT-98 1AMV     2AMV
OBSLTE    29-JAN-96 1ANH     2ANH
OBSLTE    03-FEB-82 1APE     2APE
OBSLTE    31-AUG-11 1APG     3RTJ
OBSLTE    21-APR-83 1APP     2APP
OBSLTE    16-JUL-87 1APR     2APR
OBSLTE    18-NOV-98 1AR3     1B0J
OBSLTE    23-JUL-97 1ARA     1AM0
OBSLTE    10-JUL-00 1ARN     1DYZ
OBSLTE    18-NOV-98 1AS9     1B0K
OBSLTE    01-AUG-96 1ASI     2ASI
OBSLTE    17-JUN-98 1AT7     1BAX
OBSLTE    07-DEC-82 1ATC     3ATC
OBSLTE    18-NOV-98 1ATQ     1B0M
OBSLTE    26-MAR-01 1AUB     1E0E
OBSLTE    21-DEC-04 1AXF     1Y85
OBSLTE    31-MAR-95 1AYH     2AYH
OBSLTE    27-MAY-98 1AYQ     2AYQ
OBSLTE    16-AUG-05 1AZ9     1WL9
OBSLTE    15-JAN-87 1AZA     2AZA
OBSLTE    21-FEB-00 1B1W     1CMI
OBSLTE    24-JAN-01 1B2N     1G72
OBSLTE    05-APR-02 1B3M     1L9F
OBSLTE    16-JAN-78 1B5C     2B5C
OBSLTE    22-MAR-05 1B6N     1Z1H
OBSLTE    22-MAR-05 1B6O     1Z1R
OBSLTE    22-MAR-00 1B7C     1C75
OBSLTE    28-MAR-02 1B8B     1H7A
OBSLTE    11-DEC-02 1B91     1N72
OBSLTE    15-JAN-96 1BAA     2BAA
OBSLTE    20-DEC-02 1BAQ     
OBSLTE    23-FEB-79 1BCL     2BCL
OBSLTE    13-JAN-99 1BDP     1XWL
OBSLTE    08-DEC-09 1BEF     
OBSLTE    01-MAR-02 1BER     1J59
OBSLTE    28-MAY-99 1BFL     1CNQ
OBSLTE    12-FEB-97 1BGH     1VQB
OBSLTE    10-DEC-14 1BGL     4V40
OBSLTE    10-DEC-14 1BGM     4V40
OBSLTE    02-DEC-98 1BGR     1B1X
OBSLTE    10-DEC-14 1BJ0     4V2F
OBSLTE    07-DEC-95 1BJL     3BJL
OBSLTE    10-DEC-14 1BJY     4V2G
OBSLTE    28-FEB-01 1BKQ     1F3C
OBSLTE    02-JUL-99 1BL2     1QRK
OBSLTE    15-JAN-91 1BLM     3BLM
OBSLTE    09-AUG-99 1BLW     1CN4
OBSLTE    12-APR-00 1BME     1BVT
OBSLTE    12-APR-00 1BMI     2BMI
OBSLTE    02-MAY-01 1BMY     1IG6
OBSLTE    16-FEB-99 1BN2     2BN2
OBSLTE    12-MAR-97 1BNH     2BNH
OBSLTE    13-OCT-10 1BOV     2xsc
OBSLTE    16-OCT-07 1BQV     2JV3
OBSLTE    24-SEP-99 1BR7     2E2C
OBSLTE    13-SEP-99 1BUK     2DIK
