,sdi
639,636624
640,97498
641,827627
642,480995
643,602259
644,453662
645,220786
646,802998
647,671118
648,192326
649,148334
650,163481
651,748282
652,843528
653,397090
654,838949
655,120782
656,327465
657,793073
658,350069
659,857528
660,570522
661,849287
662,756904
663,440725
664,852988
665,809236
666,732956
667,62576
668,826214
669,241906
670,836232
671,615837
672,73956
673,442374
674,811948
675,31132
676,262374
677,237829
678,687917
679,849977
680,429809
681,827713
682,575045
683,494104
684,345163
685,267127
686,774022
687,23195
688,666107
689,323324
690,241894
691,454201
692,51264
693,872104
694,183875
695,452250
696,38873
697,118792
698,729313
699,54822
700,791662
701,857999
702,47241
703,587491
704,293594
705,313138
706,158537
707,76529
708,27534
709,336406
710,757175
711,432832
712,556766
713,237216
714,169695
715,811721
716,871986
717,760385
718,650519
719,90026
720,739358
721,701137
722,186596
723,299868
724,78570
725,378737
726,403201
727,530163
728,152316
729,454182
730,127516
731,844420
732,736464
733,268236
734,373016
735,756880
736,438638
737,772035
738,399693
739,800261
740,128373
741,849404
742,151641
743,215940
744,455266
745,274864
746,400828
747,743415
748,818293
749,34597
750,423897
751,406479
752,744717
753,280732
754,122651
755,659129
756,733194
757,525435
758,92193
759,602514
760,295158
761,490103
762,158097
763,351362
764,139800
765,238697
766,551297
767,482354
768,210178
769,772536
770,408822
771,398296
772,837067
773,243060
774,673600
775,395810
776,480542
777,682173
778,868429
779,356713
780,446362
781,579247
782,264856
783,52045
784,368544
785,248054
786,248203
787,131798
788,127212
789,442638
790,115166
791,153130
792,799909
793,418239
794,558330
795,2359
796,278349
797,129411
798,805196
799,332992
800,668484
801,354650
802,801733
803,396654
804,403385
805,794040
806,763740
807,116066
808,639452
809,11638
810,525067
811,854223
812,371491
813,84731
814,530759
815,446339
816,552743
817,330399
818,798458
819,698318
820,739090
821,306328
822,322224
823,358824
824,848132
825,140644
826,450909
827,674155
828,130379
829,836311
830,290981
831,848683
832,325800
833,32863
834,850291
835,223884
836,351584
837,204067
838,454979
839,637648
840,322891
841,540212
842,108334
843,198127
844,90614
845,46072
846,450512
847,179736
848,411330
849,60367
850,408614
851,350191
852,118575
853,741869
854,615076
855,532496
856,734383
857,520307
858,692796
859,744350
860,830479
861,493598
862,335199
863,441963
864,48717
865,847644
866,612952
867,32932
868,803122
869,109355
870,398309
871,328121
872,848449
873,376143
874,438379
875,735180
876,765251
877,367273
878,834513
879,118681
880,581040
881,611930
882,523096
883,731488
884,118678
885,283696
886,658530
887,665021
888,146430
889,2566
890,480372
891,380929
892,84338
893,114275
894,479128
895,819528
896,410857
897,455029
898,55237
899,55376
900,288012
901,594179
902,345889
903,304449
904,625875
905,863693
906,117476
907,176575
908,483672
909,483421
910,339973
911,440038
912,835698
913,437903
914,243213
915,343418
916,683527
917,709111
918,674966
919,787638
920,528432
921,73225
922,126240
923,103585
924,142907
925,88149
926,744150
927,323971
928,875289
929,128371
930,13941
931,374128
932,169835
933,487665
934,344201
935,753150
936,492339
937,563288
938,359720
939,42056
940,406469
941,647601
942,317547
943,328731
944,745066
945,768859
946,637711
947,530628
948,612032
949,200138
950,398988
951,266325
952,377127
953,214549
954,45837
955,378488
956,123955
957,618987
958,818771
959,712033
960,765771
961,645347
962,294920
963,772812
964,294292
965,448450
966,99950
967,67052
968,612934
969,407603
970,381254
971,742065
972,755481
973,518052
974,875290
975,315181
976,789465
977,390149
978,747958
979,370341
980,873860
981,297932
982,131961
983,483850
984,874769
985,389047
986,392990
987,251733
988,603204
989,334287
990,281431
991,363217
992,834386
993,560057
994,386815
995,710096
996,807394
997,809898
998,310463
999,807269
1000,251081
1001,245002
1002,465151
1003,817223
1004,277515
1005,405427
1006,618355
1007,576153
1008,416458
1009,13054
1010,111276
1011,741686
1012,383635
1013,51987
1014,325624
1015,299128
1016,424025
1017,332294
1018,767834
1019,578675
1020,242345
1021,427625
1022,479335
1023,171550
1024,251171
1025,525799
1026,519181
1027,646459
1028,848125
1029,49704
1030,305313
1031,193888
1032,411984
1033,575164
1034,60982
1035,613041
1036,584341
1037,847695
1038,745942
1039,680260
1040,433444
1041,33165
1042,321434
1043,341029
1044,184863
1045,62261
1046,422122
1047,743958
1048,430404
1049,325478
1050,393711
1051,429832
1052,455404
1053,495056
1054,767497
1055,361174
1056,496973
1057,272789
1058,119984
1059,112212
1060,246037
1061,711343
1062,797643
1063,748086
1064,562498
1065,478951
1066,769229
1067,120987
1068,819231
1069,186076
1070,416120
1071,303065
1072,54682
1073,2308
1074,161825
1075,791513
1076,749695
1077,633942
1078,296114
1079,827993
1080,35293
1081,307532
1082,271068
1083,471012
1084,633805
1085,228388
1086,699684
1087,589316
1088,698790
1089,578959
1090,357860
1091,196391
1092,391922
1093,119993
1094,351973
1095,203456
1096,873066
1097,748244
1098,581838
1099,488967
1100,111949
1101,149170
1102,559819
1103,872486
1104,408011
1105,249796
1106,188991
1107,137084
1108,267134
1109,79901
1110,439976
1111,829777
1112,796945
1113,585494
1114,336509
1115,45839
1116,871787
1117,802039
1118,487239
1119,302506
1120,532579
1121,144364
1122,679970
1123,27217
1124,744633
1125,159254
1126,800511
1127,594173
1128,239002
1129,785252
1130,664483
1131,383475
1132,351250
1133,155454
1134,242138
1135,36182
1136,307258
1137,744570
1138,581667
1139,448836
1140,158369
1141,323848
1142,101012
1143,392742
1144,441715
1145,335851
1146,584356
1147,339723
1148,273294
1149,807319
1150,755563
1151,612132
1152,760007
1153,221377
1154,841299
1155,627840
1156,241855
1157,148281
1158,50928
1159,800156
1160,192951
1161,330488
1162,330978
1163,442455
1164,397579
1165,497082
1166,231322
1167,618964
1168,414811
1169,642317
